Rk,Player,Team,Pos,G,GS,MPâ¼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
47.0,Thomas Sorber,Georgetown,F,24.0,23.0,752.0,133.0,250.0,0.532,6.0,37.0,0.162,127.0,213.0,0.596,0.544,76.0,105.0,0.724,64.0,139.0,203.0,58.0,35.0,49.0,54.0,53.0,348.0,
48.0,Prince Aligbe,Seton Hall,F,32.0,29.0,748.0,103.0,226.0,0.456,4.0,22.0,0.182,99.0,204.0,0.485,0.465,41.0,61.0,0.672,34.0,81.0,115.0,19.0,26.0,10.0,45.0,50.0,251.0,
49.0,Jasen Green,Creighton,F,36.0,25.0,732.0,68.0,122.0,0.557,12.0,45.0,0.267,56.0,77.0,0.727,0.607,29.0,44.0,0.659,39.0,77.0,116.0,37.0,12.0,16.0,33.0,31.0,177.0,
50.0,Drew Fielder,Georgetown,F,31.0,31.0,729.0,82.0,177.0,0.463,18.0,72.0,0.25,64.0,105.0,0.61,0.514,38.0,53.0,0.717,51.0,117.0,168.0,30.0,11.0,13.0,29.0,74.0,220.0,
51.0,Dylan Addae-Wusu,Seton Hall,G,25.0,20.0,722.0,76.0,221.0,0.344,29.0,102.0,0.284,47.0,119.0,0.395,0.41,62.0,94.0,0.66,23.0,65.0,88.0,78.0,49.0,4.0,53.0,64.0,243.0,
52.0,Tarris Reed Jr.,Connecticut,F,35.0,1.0,697.0,136.0,203.0,0.67,0.0,0.0,,136.0,203.0,0.67,0.67,65.0,101.0,0.644,95.0,160.0,255.0,36.0,23.0,55.0,42.0,96.0,337.0,
53.0,Andre Screen,Butler,C,35.0,9.0,694.0,107.0,190.0,0.563,0.0,3.0,0.0,107.0,187.0,0.572,0.563,56.0,97.0,0.577,74.0,132.0,206.0,35.0,9.0,45.0,56.0,73.0,270.0,
54.0,Conor Enright,DePaul,G,23.0,23.0,689.0,58.0,147.0,0.395,26.0,80.0,0.325,32.0,67.0,0.478,0.483,31.0,49.0,0.633,12.0,63.0,75.0,143.0,16.0,1.0,72.0,55.0,173.0,
55.0,Samson Johnson,Connecticut,F,34.0,34.0,658.0,108.0,141.0,0.766,0.0,0.0,,108.0,141.0,0.766,0.766,38.0,50.0,0.76,47.0,73.0,120.0,35.0,23.0,50.0,36.0,100.0,254.0,
56.0,Dante Maddox Jr.,Xavier,G,34.0,0.0,642.0,71.0,174.0,0.408,46.0,112.0,0.411,25.0,62.0,0.403,0.54,60.0,70.0,0.857,10.0,70.0,80.0,51.0,28.0,6.0,24.0,47.0,248.0,
57.0,Oswin Erhunmwunse,Providence,F,32.0,24.0,642.0,94.0,130.0,0.723,0.0,0.0,,94.0,130.0,0.723,0.723,28.0,59.0,0.475,78.0,101.0,179.0,6.0,12.0,52.0,34.0,96.0,216.0,
58.0,Jacob Meyer,DePaul,G,33.0,16.0,641.0,93.0,242.0,0.384,42.0,126.0,0.333,51.0,116.0,0.44,0.471,66.0,86.0,0.767,19.0,68.0,87.0,24.0,22.0,2.0,20.0,55.0,294.0,
59.0,Jerome Hunter,Xavier,F,34.0,6.0,641.0,69.0,138.0,0.5,17.0,32.0,0.531,52.0,106.0,0.491,0.562,41.0,54.0,0.759,39.0,70.0,109.0,28.0,18.0,16.0,40.0,70.0,196.0,
60.0,Kolby King,Butler,G,34.0,4.0,641.0,64.0,145.0,0.441,26.0,65.0,0.4,38.0,80.0,0.475,0.531,35.0,50.0,0.7,17.0,115.0,132.0,57.0,21.0,4.0,49.0,67.0,189.0,
61.0,Jordan Burks,Georgetown,F,34.0,11.0,633.0,76.0,146.0,0.521,16.0,45.0,0.356,60.0,101.0,0.594,0.575,26.0,38.0,0.684,41.0,76.0,117.0,21.0,26.0,17.0,21.0,59.0,194.0,
62.0,Jaylin Stewart,Connecticut,F,35.0,12.0,624.0,73.0,134.0,0.545,24.0,66.0,0.364,49.0,68.0,0.721,0.634,18.0,25.0,0.72,30.0,53.0,83.0,33.0,5.0,12.0,25.0,58.0,188.0,
63.0,N.J. Benson,DePaul,F,28.0,11.0,613.0,100.0,165.0,0.606,1.0,8.0,0.125,99.0,157.0,0.631,0.609,51.0,83.0,0.614,53.0,120.0,173.0,25.0,11.0,38.0,40.0,37.0,252.0,
64.0,Scotty Middleton,Seton Hall,G,29.0,4.0,607.0,63.0,145.0,0.434,28.0,73.0,0.384,35.0,72.0,0.486,0.531,14.0,18.0,0.778,28.0,38.0,66.0,24.0,25.0,15.0,31.0,58.0,168.0,
65.0,Caleb Williams,Georgetown,F,29.0,14.0,590.0,48.0,108.0,0.444,14.0,43.0,0.326,34.0,65.0,0.523,0.509,16.0,26.0,0.615,36.0,73.0,109.0,25.0,17.0,9.0,20.0,62.0,126.0,
66.0,Isaac Traudt,Creighton,F,36.0,4.0,569.0,55.0,127.0,0.433,38.0,99.0,0.384,17.0,28.0,0.607,0.583,16.0,17.0,0.941,20.0,58.0,78.0,16.0,6.0,2.0,10.0,32.0,164.0,
67.0,Landon Moore,Butler,G,35.0,3.0,567.0,27.0,76.0,0.355,6.0,28.0,0.214,21.0,48.0,0.438,0.395,52.0,71.0,0.732,13.0,45.0,58.0,44.0,9.0,5.0,27.0,48.0,112.0,
