Rk,Player,Team,Pos,G,GS,MPâ¼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
87.0,Brycen Goodine,Oklahoma,G,31.0,19.0,701.0,77.0,181.0,0.425,59.0,140.0,0.421,18.0,41.0,0.439,0.588,35.0,46.0,0.761,9.0,68.0,77.0,8.0,29.0,8.0,16.0,73.0,248.0,
88.0,Julian Larry,Texas,G,35.0,4.0,693.0,52.0,119.0,0.437,15.0,43.0,0.349,37.0,76.0,0.487,0.5,42.0,53.0,0.792,7.0,44.0,51.0,102.0,25.0,2.0,54.0,67.0,161.0,
89.0,Jarin Stevenson,Alabama,F,37.0,22.0,692.0,66.0,154.0,0.429,31.0,101.0,0.307,35.0,53.0,0.66,0.529,37.0,62.0,0.597,36.0,90.0,126.0,29.0,17.0,21.0,30.0,81.0,200.0,
90.0,Pharrel Payne,Texas A&M,F,34.0,14.0,684.0,128.0,198.0,0.646,0.0,0.0,,128.0,198.0,0.646,0.646,96.0,165.0,0.582,89.0,84.0,173.0,15.0,9.0,36.0,43.0,68.0,352.0,
91.0,Jaxson Robinson,Kentucky,G,24.0,24.0,674.0,111.0,257.0,0.432,62.0,165.0,0.376,49.0,92.0,0.533,0.553,29.0,38.0,0.763,15.0,69.0,84.0,41.0,14.0,11.0,22.0,45.0,313.0,
92.0,Tyler Tanner,Vanderbilt,G,33.0,0.0,674.0,74.0,159.0,0.465,17.0,64.0,0.266,57.0,95.0,0.6,0.519,24.0,32.0,0.75,15.0,59.0,74.0,63.0,55.0,5.0,15.0,58.0,189.0,
93.0,Zvonimir Ivisic,Arkansas,F,35.0,19.0,669.0,105.0,222.0,0.473,47.0,125.0,0.376,58.0,97.0,0.598,0.579,42.0,58.0,0.724,27.0,124.0,151.0,28.0,23.0,66.0,49.0,71.0,299.0,
94.0,Boogie Fland,Arkansas,G,21.0,18.0,667.0,96.0,253.0,0.379,36.0,106.0,0.34,60.0,147.0,0.408,0.451,55.0,66.0,0.833,10.0,58.0,68.0,108.0,32.0,1.0,29.0,37.0,283.0,
95.0,Jaylen Carey,Vanderbilt,F,33.0,1.0,667.0,105.0,215.0,0.488,9.0,39.0,0.231,96.0,176.0,0.545,0.509,46.0,81.0,0.568,75.0,114.0,189.0,26.0,19.0,21.0,47.0,81.0,265.0,
96.0,Shawn Jones Jr.,Mississippi State,G,34.0,4.0,657.0,59.0,135.0,0.437,18.0,64.0,0.281,41.0,71.0,0.577,0.504,28.0,37.0,0.757,39.0,48.0,87.0,30.0,30.0,20.0,12.0,62.0,164.0,
97.0,MJ Collins,Vanderbilt,G,32.0,1.0,649.0,84.0,200.0,0.42,27.0,92.0,0.293,57.0,108.0,0.528,0.488,43.0,59.0,0.729,25.0,49.0,74.0,16.0,19.0,0.0,30.0,27.0,238.0,
98.0,Glenn Taylor Jr.,Oklahoma,F,34.0,2.0,649.0,52.0,127.0,0.409,20.0,66.0,0.303,32.0,61.0,0.525,0.488,30.0,40.0,0.75,9.0,77.0,86.0,34.0,22.0,8.0,20.0,47.0,154.0,
99.0,RJ Godfrey,Georgia,F,33.0,33.0,641.0,83.0,156.0,0.532,0.0,11.0,0.0,83.0,145.0,0.572,0.532,44.0,72.0,0.611,42.0,85.0,127.0,33.0,20.0,19.0,51.0,98.0,210.0,
100.0,Billy Richmond III,Arkansas,F,36.0,0.0,631.0,81.0,155.0,0.523,2.0,16.0,0.125,79.0,139.0,0.568,0.529,41.0,56.0,0.732,35.0,72.0,107.0,49.0,19.0,15.0,45.0,73.0,205.0,
101.0,Jonas Aidoo,Arkansas,F,33.0,15.0,623.0,90.0,158.0,0.57,0.0,7.0,0.0,90.0,151.0,0.596,0.57,47.0,76.0,0.618,52.0,113.0,165.0,27.0,22.0,37.0,30.0,62.0,227.0,
