Rk,Player,Team,Pos,G,GS,MPâ¼,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
69.0,Daquan Davis,Florida State,G,31.0,20.0,794.0,79.0,219.0,0.361,24.0,86.0,0.279,55.0,133.0,0.414,0.416,90.0,109.0,0.826,13.0,59.0,72.0,77.0,34.0,18.0,50.0,70.0,272.0,
70.0,Toibu Lawal,Virginia Tech,F,30.0,30.0,792.0,128.0,229.0,0.559,23.0,62.0,0.371,105.0,167.0,0.629,0.609,93.0,145.0,0.641,69.0,141.0,210.0,27.0,18.0,20.0,66.0,71.0,372.0,
71.0,Malique Ewin,Florida State,F,30.0,30.0,785.0,174.0,292.0,0.596,0.0,1.0,0.0,174.0,291.0,0.598,0.596,79.0,121.0,0.653,92.0,137.0,229.0,52.0,26.0,24.0,58.0,86.0,427.0,
72.0,Samet Yigitoglu,SMU,C,32.0,32.0,783.0,123.0,230.0,0.535,1.0,5.0,0.2,122.0,225.0,0.542,0.537,74.0,132.0,0.561,77.0,122.0,199.0,33.0,22.0,33.0,50.0,100.0,321.0,
73.0,Lynn Kidd,Miami (FL),C,27.0,26.0,783.0,133.0,201.0,0.662,0.0,0.0,,133.0,201.0,0.662,0.662,45.0,58.0,0.776,67.0,124.0,191.0,38.0,11.0,17.0,37.0,60.0,311.0,
74.0,Elijah Saunders,Virginia,F,29.0,26.0,776.0,102.0,243.0,0.42,33.0,95.0,0.347,69.0,148.0,0.466,0.488,65.0,78.0,0.833,29.0,117.0,146.0,22.0,14.0,8.0,37.0,61.0,302.0,
75.0,Chad Venning,Boston College,F,29.0,26.0,762.0,148.0,270.0,0.548,0.0,6.0,0.0,148.0,264.0,0.561,0.548,64.0,102.0,0.627,36.0,82.0,118.0,21.0,16.0,46.0,51.0,82.0,360.0,
76.0,Guillermo Diaz Graham,Pittsburgh,F,32.0,25.0,742.0,69.0,163.0,0.423,36.0,114.0,0.316,33.0,49.0,0.673,0.534,25.0,37.0,0.676,61.0,99.0,160.0,48.0,16.0,22.0,30.0,81.0,199.0,
77.0,Kebba Njie,Notre Dame,F,31.0,30.0,729.0,71.0,128.0,0.555,7.0,19.0,0.368,64.0,109.0,0.587,0.582,40.0,57.0,0.702,67.0,115.0,182.0,14.0,13.0,18.0,41.0,71.0,189.0,
78.0,Ven-Allen Lubin,North Carolina,F,37.0,20.0,724.0,134.0,196.0,0.684,0.0,3.0,0.0,134.0,193.0,0.694,0.684,54.0,76.0,0.711,69.0,134.0,203.0,11.0,14.0,34.0,30.0,77.0,322.0,
79.0,Taylor Bol Bowen,Florida State,F,29.0,28.0,724.0,82.0,172.0,0.477,29.0,70.0,0.414,53.0,102.0,0.52,0.561,39.0,50.0,0.78,35.0,116.0,151.0,24.0,29.0,43.0,42.0,47.0,232.0,
